Insurance	HaveEmail	HaveFitbit	Gdr_Cd	AgeBand	MbrCnt	Age	Female	HasEmail	HasFitbit	IP Admit	ER Visit	PMPM	Med	Ip	Op	Dr	Er	Rx	Charlson	AIDS_HIV	AMI	Angina	Cancer	CEVD	CHF	COPD	Dementia	Diabetes	HTN	Liver	Paralysis	PVD	Renal_Failure	Rheumatic	Ulcers	Depression	Skin
Other	NULL	NULL	M	45-64	834362	54.377536	0.000000	0.528488	0.043101	0.042775	0.130025	526.133700	434.551204	131.911950	168.665254	112.423049	21.550949	91.582496	0.819340	0.003908	0.008509	0.044812	0.027140	0.015042	0.014310	0.052272	0.000614	0.113304	0.284085	0.024962	0.001709	0.018140	0.016740	0.006054	0.002823	0.035509	0.010161
Other	NULL	NULL	NULL	45-64	1690092	54.410716	0.506321	0.525657	0.052736	0.042005	0.145494	561.879205	469.892884	123.024157	188.439624	133.812869	24.616232	91.986320	0.807009	0.002292	0.005907	0.031424	0.033044	0.014734	0.011414	0.064691	0.000631	0.100189	0.256565	0.025725	0.001614	0.015451	0.013869	0.012786	0.003184	0.056399	0.009824
Other	NULL	NULL	F	65+	834802	75.529960	1.000000	0.234629	0.017284	0.022280	0.050107	95.764225	81.071823	24.114409	29.813866	24.283925	2.859621	14.692401	0.321532	0.000071	0.002609	0.016868	0.015501	0.013067	0.010128	0.024230	0.006255	0.032776	0.089929	0.005573	0.000882	0.014565	0.011775	0.005831	0.001359	0.013839	0.003575
Other	NULL	NULL	M	65+	679182	74.911833	0.000000	0.278005	0.017008	0.029470	0.055434	151.953245	128.015465	43.594522	48.140321	32.520538	3.760082	23.937780	0.458441	0.000396	0.006334	0.043948	0.026290	0.017976	0.016562	0.026528	0.005028	0.053239	0.121733	0.007632	0.001358	0.023257	0.019217	0.003171	0.001679	0.009561	0.004542
Other	NULL	NULL	NULL	65+	1513984	75.252665	0.551394	0.254087	0.017160	0.025506	0.052497	120.970945	102.131013	32.853300	38.035220	27.978917	3.263573	18.839932	0.382950	0.000217	0.004280	0.029016	0.020341	0.015269	0.013014	0.025261	0.005704	0.041956	0.104196	0.006497	0.001096	0.018464	0.015113	0.004638	0.001503	0.011920	0.004009
Other	NULL	NULL	NULL	NULL	5124861	52.160427	0.517277	0.405320	0.039459	0.036720	0.124953	334.945214	283.372753	75.776931	107.647772	80.489735	19.458314	51.572460	0.474821	0.001288	0.003438	0.019811	0.019162	0.010305	0.008254	0.044404	0.001928	0.053130	0.135022	0.013969	0.001139	0.011324	0.009856	0.007161	0.001984	0.042155	0.006999
UHC-FI	NULL	NULL	F	18-44	627678	32.387257	1.000000	0.560808	0.072953	0.074249	0.220068	421.633379	353.221835	102.153480	116.399240	97.911335	36.757778	68.411544	0.311428	0.000406	0.000474	0.001911	0.008861	0.002918	0.001672	0.055746	0.000122	0.021836	0.051784	0.010643	0.000820	0.002093	0.002196	0.007664	0.001629	0.082258	0.007981
UHC-FI	NULL	NULL	M	18-44	671175	32.423218	0.000000	0.494975	0.035366	0.017263	0.148509	233.333702	178.580064	41.242393	65.069638	48.634352	23.633679	54.753637	0.263669	0.002436	0.000984	0.003251	0.004502	0.002141	0.002173	0.035798	0.000092	0.023563	0.069114	0.011068	0.000736	0.002100	0.002872	0.001773	0.001293	0.039414	0.007980
UHC-FI	NULL	NULL	NULL	18-44	1298853	32.405840	0.483255	0.526789	0.053530	0.044802	0.183090	324.330577	262.976680	70.678018	89.874956	72.447731	29.975974	61.353897	0.286749	0.001455	0.000738	0.002603	0.006608	0.002516	0.001931	0.045438	0.000107	0.022728	0.060739	0.010863	0.000776	0.002097	0.002546	0.004620	0.001455	0.060119	0.007980
UHC-FI	NULL	NULL	F	45-64	536021	54.071773	1.000000	0.621529	0.072396	0.042707	0.181289	657.768192	516.213273	116.393812	216.933489	152.210227	30.675744	141.554918	0.868286	0.000701	0.003626	0.019997	0.042492	0.014583	0.008850	0.083726	0.000638	0.092380	0.256801	0.029241	0.001455	0.013154	0.011865	0.020946	0.003755	0.085379	0.010721
UHC-FI	NULL	NULL	M	45-64	563098	54.069829	0.000000	0.597927	0.045491	0.046693	0.149270	588.243792	453.790910	145.774546	174.464659	108.942279	24.609424	134.452881	0.884213	0.004526	0.009911	0.050303	0.028364	0.015848	0.015723	0.056505	0.000520	0.120231	0.313920	0.027322	0.001708	0.019170	0.017059	0.006334	0.003045	0.036066	0.011193
UHC-FI	NULL	NULL	NULL	45-64	1099119	54.070777	0.487682	0.609438	0.058612	0.044749	0.164885	622.149619	484.233199	131.446079	195.175960	130.043296	27.567862	137.916420	0.876446	0.002661	0.006846	0.035523	0.035254	0.015231	0.012371	0.069780	0.000577	0.106649	0.286064	0.028258	0.001584	0.016236	0.014526	0.013460	0.003391	0.060115	0.010963
UHC-FI	NULL	NULL	F	65+	42890	68.627885	1.000000	0.604523	0.053718	0.085054	0.211214	898.207573	688.033055	195.637477	271.929973	192.835842	27.629761	210.174518	1.524049	0.000396	0.009442	0.065563	0.079808	0.047843	0.031405	0.121007	0.010142	0.163604	0.471531	0.034413	0.003007	0.045092	0.043576	0.029610	0.006015	0.074213	0.014269
UHC-FI	NULL	NULL	M	65+	53187	68.599225	0.000000	0.633726	0.045988	0.100550	0.188579	1032.633557	807.300232	279.310605	313.002255	188.949532	26.037839	225.333324	1.700819	0.001861	0.024423	0.161054	0.095624	0.056009	0.049297	0.093801	0.006975	0.207362	0.518021	0.033824	0.003421	0.068832	0.058792	0.012672	0.005772	0.032789	0.015530
UHC-FI	NULL	NULL	NULL	65+	96077	68.612019	0.446412	0.620689	0.049439	0.093633	0.198684	972.624081	754.057840	241.957851	294.667064	190.684430	26.748493	218.566239	1.621907	0.001207	0.017735	0.118425	0.088564	0.052364	0.041310	0.105946	0.008389	0.187828	0.497267	0.034087	0.003236	0.058234	0.051999	0.020233	0.005880	0.051281	0.014967
UHC-FI	NULL	NULL	NULL	NULL	2494049	43.348257	0.483787	0.566829	0.055612	0.046660	0.175668	480.552312	379.401356	104.056425	144.169858	102.384676	28.790396	101.150955	0.598060	0.001977	0.004084	0.021573	0.022390	0.010040	0.008049	0.058496	0.000633	0.066072	0.176855	0.019423	0.001227	0.010490	0.009730	0.009117	0.002479	0.059777	0.009564
Uni-ASO	NULL	NULL	F	18-44	1569413	31.930862	1.000000	0.481841	0.062885	0.077360	0.233422	424.042667	405.942625	116.242158	132.191753	115.329292	42.179420	18.100042	0.306161	0.000472	0.000453	0.001869	0.008369	0.002914	0.001766	0.055184	0.000117	0.022041	0.050668	0.010475	0.000874	0.002214	0.002245	0.007425	0.001759	0.079752	0.007853
Uni-ASO	NULL	NULL	M	18-44	1581083	31.814909	0.000000	0.508413	0.041570	0.017560	0.140978	223.723578	207.136773	44.504526	79.001183	59.428005	24.203057	16.586805	0.264138	0.003078	0.000869	0.002948	0.004451	0.002212	0.002102	0.036164	0.000103	0.023733	0.065444	0.010825	0.000877	0.002213	0.003069	0.001691	0.001239	0.040140	0.007492
Uni-ASO	NULL	NULL	NULL	18-44	3150496	31.872671	0.498147	0.495176	0.052188	0.047349	0.187029	323.512114	306.171493	80.240478	105.497954	87.275114	33.157945	17.340621	0.285071	0.001780	0.000662	0.002411	0.006403	0.002562	0.001935	0.045639	0.000110	0.022890	0.058083	0.010651	0.000875	0.002214	0.002658	0.004547	0.001498	0.059873	0.007672
Uni-ASO	NULL	NULL	F	45-64	1345779	54.343614	1.000000	0.569655	0.072663	0.045486	0.175513	624.553627	587.663320	129.477256	246.446169	179.354971	32.384921	36.890307	0.857397	0.000714	0.003631	0.019311	0.042718	0.014954	0.008924	0.082200	0.000747	0.090811	0.250154	0.028477	0.001769	0.012970	0.012105	0.021144	0.004028	0.084425	0.010424
Uni-ASO	NULL	NULL	M	45-64	1292879	54.197618	0.000000	0.649120	0.058713	0.046743	0.136196	541.053178	503.422503	147.127448	199.850757	132.282546	24.161749	37.630675	0.886096	0.005487	0.009050	0.046836	0.030039	0.015800	0.014962	0.055043	0.000703	0.118881	0.305815	0.027068	0.002020	0.018477	0.017886	0.006479	0.003108	0.039670	0.010834
Uni-ASO	NULL	NULL	NULL	45-64	2638658	54.272079	0.510024	0.608591	0.065828	0.046102	0.156248	583.640414	546.387344	138.125426	223.615537	156.290614	28.355764	37.253069	0.871459	0.003053	0.006286	0.032798	0.036506	0.015369	0.011882	0.068894	0.000726	0.104564	0.277427	0.027787	0.001892	0.015668	0.014938	0.013958	0.003577	0.062496	0.010625
Uni-ASO	NULL	NULL	F	65+	408350	74.774142	1.000000	0.405556	0.034499	0.089156	0.203193	294.913723	261.635570	75.545051	97.323897	78.846781	9.919839	33.278153	1.219180	0.000176	0.010035	0.062862	0.058905	0.052134	0.041415	0.091284	0.029700	0.111592	0.345578	0.020225	0.003695	0.057379	0.045989	0.021474	0.005152	0.052530	0.013755
Uni-ASO	NULL	NULL	M	65+	379910	73.951614	0.000000	0.526243	0.037466	0.093406	0.180068	387.350166	349.028215	116.535809	131.515116	90.444136	10.533152	38.321950	1.408412	0.001326	0.019630	0.136169	0.083785	0.057737	0.054520	0.079518	0.019749	0.152162	0.371693	0.021555	0.004316	0.073125	0.060324	0.009968	0.004874	0.029080	0.014279
Uni-ASO	NULL	NULL	NULL	65+	788260	74.377716	0.518039	0.463722	0.035929	0.091204	0.192048	339.464416	303.755352	95.300968	113.802706	84.436245	10.215431	35.709063	1.310382	0.000730	0.014660	0.098193	0.070896	0.054834	0.047731	0.085613	0.024904	0.131145	0.358164	0.020866	0.003994	0.064968	0.052898	0.015928	0.005018	0.041228	0.014008
Uni-ASO	NULL	NULL	NULL	NULL	6577414	45.952582	0.505296	0.536905	0.055711	0.052104	0.175282	429.779437	402.249211	105.267056	153.878398	114.621809	28.481946	27.530226	0.643189	0.002165	0.004596	0.026080	0.026208	0.013964	0.011414	0.059759	0.003328	0.068629	0.182040	0.018749	0.001657	0.015132	0.013605	0.009687	0.002754	0.058691	0.009616
Other	No	No	NULL	18-44	1116666	30.259816	0.484931	0.000000	0.000000	0.030853	0.149058	204.518784	185.040138	49.078339	62.402106	49.376285	24.183406	19.478645	0.171867	0.000582	0.000386	0.001426	0.003617	0.001704	0.001135	0.031603	0.000081	0.012524	0.031885	0.006068	0.000670	0.001364	0.001346	0.002418	0.000972	0.040105	0.005451
UHC-FI	No	No	NULL	18-44	614631	30.604979	0.448514	0.000000	0.000000	0.038022	0.186349	240.330706	209.466594	57.113626	68.535579	54.570973	29.246414	30.864111	0.212405	0.000719	0.000520	0.001758	0.004296	0.002009	0.001452	0.038030	0.000112	0.015671	0.042493	0.008074	0.000668	0.001560	0.001607	0.002681	0.001231	0.046457	0.007220
Uni-ASO	No	No	NULL	18-44	1590443	29.463877	0.511306	0.000000	0.000000	0.041795	0.192537	263.315526	255.632230	67.613002	86.251614	68.753786	33.013827	7.683295	0.226051	0.001009	0.000487	0.001693	0.004616	0.002029	0.001553	0.040832	0.000106	0.016450	0.040478	0.007766	0.000916	0.001686	0.001915	0.003324	0.001217	0.054435	0.007060
NULL	No	No	NULL	18-44	3321740	29.942588	0.490821	0.000000	0.000000	0.037419	0.176776	239.296937	223.359198	59.439494	74.956101	59.615385	29.348218	15.937738	0.205311	0.000812	0.000459	0.001615	0.004221	0.001916	0.001394	0.037211	0.000099	0.014986	0.037962	0.007252	0.000787	0.001555	0.001667	0.002900	0.001137	0.048141	0.006548
Other	Yes	No	NULL	18-44	717006	34.324687	0.505008	1.000000	0.000000	0.054701	0.188633	437.802159	366.094257	94.493497	130.031733	108.383674	33.185351	71.707901	0.368427	0.002312	0.000900	0.003669	0.009172	0.003553	0.002538	0.054402	0.000110	0.031871	0.080893	0.014330	0.000893	0.003048	0.003362	0.006531	0.001776	0.070420	0.008938
UHC-FI	Yes	No	NULL	18-44	614694	33.993079	0.498160	1.000000	0.000000	0.050641	0.184739	395.478890	308.223049	82.231947	107.726253	86.900799	31.364048	87.255840	0.352036	0.002210	0.000950	0.003453	0.008524	0.002996	0.002355	0.051158	0.000099	0.029351	0.077222	0.013375	0.000884	0.002586	0.003401	0.006196	0.001667	0.071076	0.008768
Uni-ASO	Yes	No	NULL	18-44	1395634	34.264039	0.471123	1.000000	0.000000	0.052812	0.185767	382.365012	355.346691	93.261017	123.745261	104.274282	34.066129	27.018321	0.343359	0.002715	0.000848	0.003149	0.008041	0.003118	0.002327	0.049542	0.000111	0.029526	0.075732	0.013560	0.000851	0.002722	0.003449	0.005684	0.001778	0.064359	0.008351
NULL	Yes	No	NULL	18-44	2727334	34.218914	0.486125	1.000000	0.000000	0.052819	0.186289	399.894874	347.551331	91.099270	121.787543	101.438943	33.225573	52.343543	0.351905	0.002495	0.000885	0.003354	0.008447	0.003205	0.002389	0.051184	0.000108	0.030103	0.077425	0.013721	0.000870	0.002777	0.003415	0.006022	0.001752	0.067466	0.008599
NULL	NULL	No	NULL	18-44	6049074	31.870646	0.488704	0.450868	0.000000	0.044362	0.181065	311.705411	279.353459	73.713874	96.070900	78.472289	31.096394	32.351951	0.271406	0.001571	0.000651	0.002399	0.006126	0.002497	0.001842	0.043511	0.000103	0.021802	0.055754	0.010169	0.000824	0.002106	0.002455	0.004308	0.001415	0.056854	0.007473
Other	No	No	NULL	45-64	801683	54.525588	0.509268	0.000000	0.000000	0.032143	0.121266	364.304884	323.595922	89.416906	126.877255	87.458506	19.843254	40.708961	0.578639	0.001081	0.004591	0.022396	0.022601	0.011087	0.008966	0.047181	0.000561	0.073766	0.187732	0.018264	0.001303	0.011594	0.009961	0.008237	0.002361	0.037538	0.007393
